date,location,matched_cities,ratio,median_price,monthly_payment,median_hhi,interest_rate,cities_matched
2021-01-01,"Appleton, WI","Appleton, WI",17.01%,299900.0,969.3155588087806,68364.0,2.67,1
2022-01-01,"Appleton, WI","Appleton, WI",19.71%,362400.0,1239.5811822714847,75469.0,3.11,1
2023-01-01,"Appleton, WI","Appleton, WI",31.36%,403675.0,2024.2396633654544,77450.0,6.42,1
2017-01-01,"Arcadia, FL","Arcadia, FL",39.02%,232175.0,921.3568211963009,28338.0,4.32,1
2018-01-01,"Arcadia, FL","Arcadia, FL",42.33%,249475.0,951.6752020240612,26978.0,3.99,1
2019-01-01,"Arcadia, FL","Arcadia, FL",37.07%,227000.0,925.543511292627,29964.0,4.55,1
2020-01-01,"Arcadia, FL","Arcadia, FL",35.35%,270725.0,1001.7871883096266,34003.0,3.74,1
2021-01-01,"Arcadia, FL","Arcadia, FL",35.13%,252400.0,815.7894199511044,27869.0,2.67,1
2022-01-01,"Arcadia, FL","Arcadia, FL",40.22%,339000.0,1159.5419999724982,34598.0,3.11,1
2023-01-01,"Arcadia, FL","Arcadia, FL",62.61%,399450.0,2003.053281801773,38388.0,6.42,1
2017-01-01,"Ardmore, OK","Ardmore, OK",17.26%,160000.0,634.9395559014025,44151.0,4.32,1
2018-01-01,"Ardmore, OK","Ardmore, OK",17.01%,165000.0,629.4274309408562,44413.0,3.99,1
2019-01-01,"Ardmore, OK","Ardmore, OK",15.59%,152450.0,621.581974874718,47860.0,4.55,1
2020-01-01,"Ardmore, OK","Ardmore, OK",16.99%,174500.0,645.7174784745769,45602.0,3.74,1
2021-01-01,"Ardmore, OK","Ardmore, OK",13.04%,154000.0,497.74790282278155,45797.0,2.67,1
2022-01-01,"Ardmore, OK","Ardmore, OK",13.29%,160000.0,547.2764601640109,49408.0,3.11,1
2023-01-01,"Ardmore, OK","Ardmore, OK",25.24%,222150.0,1113.9774353542718,52954.0,6.42,1
2017-01-01,"Arkadelphia, AR","Arkadelphia, AR",19.00%,123000.0,488.10978359920324,30823.0,4.32,1
2018-01-01,"Arkadelphia, AR","Arkadelphia, AR",18.66%,133375.0,508.78717334385874,32717.0,3.99,1
2019-01-01,"Arkadelphia, AR","Arkadelphia, AR",20.67%,139950.0,570.6159224907627,33133.0,4.55,1
2020-01-01,"Arkadelphia, AR","Arkadelphia, AR",17.64%,125700.0,465.1386077034631,31643.0,3.74,1
2021-01-01,"Arkadelphia, AR","Arkadelphia, AR",15.46%,139000.0,449.265964236147,34883.0,2.67,1
2022-01-01,"Arkadelphia, AR","Arkadelphia, AR",18.53%,169900.0,581.1391911366592,37634.0,3.11,1
2023-01-01,"Arkadelphia, AR","Arkadelphia, AR",24.82%,175000.0,877.5424316317694,42430.0,6.42,1
2017-01-01,"Asheville, NC","Asheville, NC",35.81%,349450.0,1386.7476738109071,46464.0,4.32,1
2018-01-01,"Asheville, NC","Asheville, NC",33.52%,349998.0,1335.1414665117443,47803.0,3.99,1
2019-01-01,"Asheville, NC","Asheville, NC",37.14%,379000.0,1545.2907082815227,49930.0,4.55,1
2020-01-01,"Asheville, NC","Asheville, NC",33.08%,399450.0,1478.1194657688811,53621.0,3.74,1
2021-01-01,"Asheville, NC","Asheville, NC",30.93%,464000.0,1499.7079669465627,58193.0,2.67,1
2022-01-01,"Asheville, NC","Asheville, NC",32.16%,499900.0,1709.8968902249317,63810.0,3.11,1
2023-01-01,"Asheville, NC","Asheville, NC",47.55%,531200.0,2663.7173696159766,67221.0,6.42,1
2017-01-01,"Ashland, OH","Ashland, OH",14.15%,122475.0,486.0263881814018,41218.0,4.32,1
2018-01-01,"Ashland, OH","Ashland, OH",11.44%,111850.0,426.6755039438471,44757.0,3.99,1
2019-01-01,"Ashland, OH","Ashland, OH",12.65%,123750.0,504.5639186011568,47869.0,4.55,1
2020-01-01,"Ashland, OH","Ashland, OH",13.32%,146000.0,540.2564576348896,48663.0,3.74,1
2021-01-01,"Ashland, OH","Ashland, OH",12.79%,168900.0,545.9066284855052,51224.0,2.67,1
2022-01-01,"Ashland, OH","Ashland, OH",16.48%,225000.0,769.6075221056404,56040.0,3.11,1
2023-01-01,"Ashland, OH","Ashland, OH",20.97%,199675.0,1001.275914491849,57310.0,6.42,1
2017-01-01,"Ashtabula, OH","Ashtabula, OH",15.80%,97625.0,387.41233840546516,29421.0,4.32,1
